Date,Open,High,Low,Close,Adj Close,Volume
2022-03-29,8.000000,8.050000,7.960000,8.040000,7.937311,2635800
2022-03-30,7.900000,7.910000,7.820000,7.850000,7.749738,2460300
2022-03-31,7.770000,7.800000,7.700000,7.710000,7.611526,2826600
2022-04-01,7.820000,7.890000,7.770000,7.890000,7.789227,7602100
2022-04-04,8.010000,8.030000,7.910000,7.930000,7.828716,2083500
2022-04-05,7.840000,7.890000,7.800000,7.860000,7.824734,1743000
2022-04-06,7.730000,7.750000,7.660000,7.700000,7.665452,2096000
2022-04-07,7.600000,7.610000,7.510000,7.550000,7.516125,2723000
2022-04-08,7.560000,7.650000,7.530000,7.580000,7.545990,1131800
2022-04-11,7.430000,7.480000,7.340000,7.360000,7.326978,3094900
2022-04-12,7.310000,7.360000,7.160000,7.210000,7.177650,3920400
2022-04-13,7.160000,7.180000,7.030000,7.130000,7.098010,3514400
2022-04-14,7.170000,7.170000,6.980000,7.000000,6.968593,3242200
2022-04-18,6.970000,7.000000,6.880000,6.900000,6.869042,1847400
2022-04-19,6.770000,6.950000,6.740000,6.950000,6.918817,4189700
2022-04-20,6.990000,7.060000,6.970000,6.990000,6.958638,2529000
2022-04-21,7.030000,7.050000,6.860000,6.870000,6.839176,2226700
2022-04-22,6.870000,6.920000,6.750000,6.760000,6.729670,2808900
2022-04-25,6.750000,6.860000,6.680000,6.860000,6.829221,3790400
2022-04-26,6.830000,6.830000,6.690000,6.710000,6.679894,2648000
2022-04-27,6.640000,6.740000,6.640000,6.650000,6.620163,2636400
2022-04-28,6.690000,6.830000,6.680000,6.810000,6.779445,2257200
2022-04-29,6.580000,6.630000,6.440000,6.440000,6.411105,2179900
2022-05-02,6.390000,6.430000,6.310000,6.430000,6.401150,2654300
2022-05-03,6.400000,6.470000,6.380000,6.430000,6.401150,2152300
2022-05-04,6.400000,6.500000,6.280000,6.490000,6.460881,5562200
2022-05-05,6.460000,6.480000,6.260000,6.340000,6.311554,3780600
2022-05-06,6.210000,6.280000,6.160000,6.240000,6.212003,2487600
2022-05-09,6.190000,6.230000,6.120000,6.130000,6.102497,2668500
2022-05-10,6.150000,6.260000,6.100000,6.220000,6.192092,3812200
2022-05-11,6.150000,6.200000,6.010000,6.010000,5.983035,3904400
2022-05-12,6.040000,6.230000,6.020000,6.220000,6.192092,3841500
2022-05-13,6.080000,6.190000,6.080000,6.150000,6.122406,4326900
2022-05-16,6.080000,6.100000,6.010000,6.040000,6.012900,3663600
2022-05-17,6.250000,6.310000,6.210000,6.280000,6.251823,2174300
2022-05-18,6.170000,6.220000,6.000000,6.010000,5.983035,2645500
2022-05-19,5.820000,5.950000,5.780000,5.910000,5.883483,4128800
2022-05-20,5.940000,5.940000,5.830000,5.940000,5.913349,1980900
2022-05-23,6.010000,6.060000,5.940000,6.040000,6.012900,3528900
2022-05-24,5.930000,5.940000,5.820000,5.890000,5.863573,3270300
2022-05-25,5.680000,5.790000,5.680000,5.770000,5.744112,3541100
2022-05-26,5.830000,5.960000,5.800000,5.940000,5.913349,1897500
2022-05-27,6.040000,6.120000,6.040000,6.100000,6.072631,1781800
2022-05-31,6.090000,6.160000,5.960000,5.980000,5.953169,11140800
2022-06-01,6.050000,6.140000,5.950000,6.030000,6.002945,4508400
2022-06-02,6.090000,6.180000,6.060000,6.170000,6.142317,2345300
2022-06-03,6.110000,6.150000,6.040000,6.040000,6.012900,1956300
2022-06-06,6.070000,6.100000,6.010000,6.020000,5.992990,2202600
2022-06-07,5.950000,6.030000,5.920000,6.010000,5.983035,2495600
2022-06-08,6.010000,6.040000,5.960000,5.970000,5.943214,2178500
2022-06-09,5.950000,5.990000,5.870000,5.890000,5.863573,3321800
2022-06-10,5.760000,5.800000,5.690000,5.700000,5.674425,3262500
2022-06-13,5.580000,5.630000,5.550000,5.550000,5.525099,3908000
2022-06-14,5.580000,5.670000,5.580000,5.650000,5.624650,2411200
2022-06-15,5.610000,5.680000,5.550000,5.620000,5.594785,4395400
2022-06-16,5.370000,5.400000,5.300000,5.320000,5.296131,4678600
2022-06-17,5.200000,5.300000,5.180000,5.210000,5.186625,11130000
2022-06-21,5.360000,5.540000,5.360000,5.490000,5.465368,3862600
2022-06-22,5.310000,5.410000,5.260000,5.330000,5.306086,5163100
2022-06-23,5.380000,5.440000,5.340000,5.420000,5.395682,2123300
2022-06-24,5.410000,5.540000,5.400000,5.490000,5.465368,2624700
2022-06-27,5.470000,5.500000,5.430000,5.450000,5.425547,3038000
2022-06-28,5.440000,5.440000,5.320000,5.320000,5.296131,3684600
2022-06-29,5.320000,5.360000,5.270000,5.340000,5.316041,3130800
2022-06-30,5.270000,5.350000,5.240000,5.310000,5.286175,2515000
2022-07-01,5.350000,5.430000,5.330000,5.410000,5.385726,1462600
2022-07-05,5.240000,5.310000,5.200000,5.310000,5.286175,2625200
2022-07-06,5.310000,5.390000,5.310000,5.360000,5.335951,3552900
2022-07-07,5.400000,5.460000,5.370000,5.460000,5.435503,3289700
2022-07-08,5.340000,5.350000,5.240000,5.260000,5.236400,4503600
2022-07-11,5.170000,5.200000,5.130000,5.150000,5.126894,3513200
2022-07-12,5.150000,5.180000,5.110000,5.120000,5.097028,3114400
2022-07-13,5.020000,5.140000,5.020000,5.110000,5.087073,3529400
2022-07-14,5.010000,5.010000,4.940000,5.010000,4.987522,4522200
2022-07-15,4.980000,5.050000,4.940000,5.050000,5.027342,3109900
2022-07-18,5.100000,5.150000,5.040000,5.060000,5.037297,2787300
2022-07-19,5.120000,5.190000,5.110000,5.190000,5.166714,2816800
2022-07-20,5.150000,5.150000,5.000000,5.070000,5.047253,5910500
2022-07-21,5.130000,5.220000,5.100000,5.210000,5.186625,2996100
2022-07-22,5.150000,5.190000,5.120000,5.140000,5.116938,1830500
2022-07-25,5.190000,5.220000,5.140000,5.180000,5.156759,3305000
2022-07-26,5.040000,5.070000,4.950000,4.970000,4.947701,5454800
2022-07-27,5.040000,5.170000,5.030000,5.160000,5.136848,3548500
2022-07-28,5.180000,5.260000,5.160000,5.240000,5.216489,3930600
2022-07-29,5.300000,5.330000,5.270000,5.300000,5.276221,3804600
2022-08-01,5.340000,5.400000,5.300000,5.360000,5.335951,2770700
2022-08-02,5.350000,5.440000,5.320000,5.370000,5.345906,3183700
2022-08-03,5.400000,5.500000,5.390000,5.490000,5.465368,2502500
2022-08-04,5.480000,5.510000,5.470000,5.500000,5.475323,1819400
2022-08-05,5.480000,5.510000,5.450000,5.480000,5.455413,1305100
2022-08-08,5.440000,5.450000,5.380000,5.430000,5.405637,3014400
2022-08-09,5.400000,5.420000,5.370000,5.370000,5.345906,2513400
2022-08-10,5.430000,5.480000,5.430000,5.470000,5.445457,1658800
2022-08-11,5.490000,5.490000,5.430000,5.430000,5.405637,1250200
2022-08-12,5.430000,5.540000,5.420000,5.510000,5.485279,4771700
2022-08-15,5.510000,5.530000,5.480000,5.510000,5.485279,1358200
2022-08-16,5.480000,5.490000,5.450000,5.480000,5.455413,1474000
